stream,cwnd,units
[  7]   0.00-0.10   sec  77.8 KBytes  6.35 Mbits/sec    2,9.9, KBytes       
[  7]   0.10-0.20   sec  0.00 Bytes  0.00 bits/sec    1,9.9, KBytes       
[  7]   0.20-0.30   sec  46.7 KBytes  3.82 Mbits/sec    2,5.66, KBytes       
[  7]   0.30-0.40   sec  0.00 Bytes  0.00 bits/sec    2,4.24, KBytes       
[  7]   0.40-0.50   sec  0.00 Bytes  0.00 bits/sec    0,5.66, KBytes       
[  7]   0.50-0.60   sec  0.00 Bytes  0.00 bits/sec    0,7.07, KBytes       
[  7]   0.60-0.70   sec  0.00 Bytes  0.00 bits/sec    4,4.24, KBytes       
[  7]   0.70-0.80   sec  53.7 KBytes  4.41 Mbits/sec    2,2.83, KBytes       
[  7]   0.80-0.90   sec  0.00 Bytes  0.00 bits/sec    1,2.83, KBytes       
[  7]   0.90-1.00   sec  0.00 Bytes  0.00 bits/sec    1,2.83, KBytes       
[  7]   1.00-1.10   sec  0.00 Bytes  0.00 bits/sec    1,2.83, KBytes       
[  7]   1.10-1.20   sec  0.00 Bytes  0.00 bits/sec    1,2.83, KBytes       
[  7]   1.20-1.30   sec  0.00 Bytes  0.00 bits/sec    2,2.83, KBytes       
[  7]   1.30-1.40   sec  0.00 Bytes  0.00 bits/sec    2,2.83, KBytes       
[  7]   1.40-1.50   sec  41.0 KBytes  3.39 Mbits/sec    1,2.83, KBytes       
[  7]   1.50-1.60   sec  0.00 Bytes  0.00 bits/sec    0,5.66, KBytes       
[  7]   1.60-1.70   sec  0.00 Bytes  0.00 bits/sec    2,4.24, KBytes       
[  7]   1.70-1.80   sec  0.00 Bytes  0.00 bits/sec    1,2.83, KBytes       
[  7]   1.80-1.90   sec  39.6 KBytes  3.26 Mbits/sec    0,5.66, KBytes       
[  7]   1.90-2.00   sec  0.00 Bytes  0.00 bits/sec    0,7.07, KBytes       
[  7]   2.00-2.10   sec  0.00 Bytes  0.00 bits/sec    0,7.07, KBytes       
[  7]   2.10-2.20   sec  39.6 KBytes  3.24 Mbits/sec    0,8.48, KBytes       
[  7]   2.20-2.30   sec  0.00 Bytes  0.00 bits/sec    0,9.9, KBytes       
[  7]   2.30-2.40   sec  0.00 Bytes  0.00 bits/sec    0,11.3, KBytes       
[  7]   2.40-2.50   sec  0.00 Bytes  0.00 bits/sec    0,11.3, KBytes       
[  7]   2.50-2.60   sec  42.4 KBytes  3.49 Mbits/sec    3,5.66, KBytes       
[  7]   2.60-2.70   sec  0.00 Bytes  0.00 bits/sec    0,7.07, KBytes       
[  7]   2.70-2.80   sec  0.00 Bytes  0.00 bits/sec    2,5.66, KBytes       
[  7]   2.80-2.90   sec  56.6 KBytes  4.63 Mbits/sec    0,7.07, KBytes       
[  7]   2.90-3.00   sec  0.00 Bytes  0.00 bits/sec    0,7.07, KBytes       
[  7]   3.00-3.10   sec  0.00 Bytes  0.00 bits/sec    0,8.48, KBytes       
[  7]   3.10-3.20   sec  0.00 Bytes  0.00 bits/sec    4,5.66, KBytes       
[  7]   3.20-3.30   sec  0.00 Bytes  0.00 bits/sec    0,7.07, KBytes       
[  7]   3.30-3.40   sec  0.00 Bytes  0.00 bits/sec    0,7.07, KBytes       
[  7]   3.40-3.50   sec  0.00 Bytes  0.00 bits/sec    0,7.07, KBytes       
